config,n,silent_readthrough,explicit_notice_fix,explicit_notice_nofix,misread_wrong_word,derailed,unclear,not_applicable
clean,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
typo25_real10,2,0.5,0.0,0.0,0.5,0.0,0.0,0.0
typo25_real40,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
typo25_real70,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
typo50_real10,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
typo50_real40,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
typo50_real70,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0
typo75_real10,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0
typo75_real40,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
typo75_real70,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
