marker,category,clean_per_1k,typo_per_1k,discrimination
maybe,uncertainty,1.484,3.908,2.423
wait,second_guess,3.108,4.039,0.932
or maybe/alt,uncertainty,1.096,1.798,0.702
perhaps,uncertainty,0.341,0.842,0.501
unclear/confused,uncertainty,0.246,0.543,0.298
hmm,second_guess,1.656,1.827,0.171
might be,uncertainty,0.055,0.194,0.139
but wait,second_guess,0.322,0.415,0.093
not sure,uncertainty,0.022,0.101,0.079
actually,second_guess,0.191,0.239,0.048
I assume,uncertainty,0.022,0.064,0.042
not entirely,uncertainty,0.004,0.023,0.02
could be,uncertainty,0.07,0.081,0.011
presumably,uncertainty,0.004,0.006,0.002
reconsider,second_guess,0.0,0.001,0.001
on second thought,second_guess,0.0,0.0,0.0
possibly,uncertainty,0.004,0.002,-0.001
I guess,uncertainty,0.125,0.074,-0.051
wait/actually no,second_guess,0.264,0.209,-0.055
hold on,second_guess,0.48,0.411,-0.069
let me recheck,second_guess,0.55,0.473,-0.076
double-check,second_guess,0.579,0.489,-0.09
